Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,0.013530,0.013530,0.013530,0.013530,0.013530,0
2021-01-04,0.013451,0.013691,0.013425,0.013490,0.013490,0
2021-01-05,0.013429,0.013521,0.013303,0.013427,0.013427,0
2021-01-06,0.013475,0.013622,0.013474,0.013489,0.013489,0
2021-01-07,0.013495,0.013598,0.013347,0.013497,0.013497,0
2021-01-08,0.013405,0.013544,0.013368,0.013406,0.013406,0
2021-01-11,0.013448,0.013463,0.013337,0.013440,0.013440,0
2021-01-12,0.013400,0.013597,0.013378,0.013400,0.013400,0
2021-01-13,0.013616,0.013631,0.013520,0.013617,0.013617,0
2021-01-14,0.013541,0.013678,0.013516,0.013541,0.013541,0
2021-01-15,0.013641,0.013656,0.013539,0.013638,0.013638,0
2021-01-18,0.013582,0.013586,0.013449,0.013587,0.013587,0
2021-01-19,0.013526,0.013590,0.013520,0.013526,0.013526,0
2021-01-20,0.013555,0.013660,0.013545,0.013555,0.013555,0
2021-01-21,0.013614,0.013668,0.013522,0.013614,0.013614,0
2021-01-22,0.013522,0.013538,0.013303,0.013523,0.013523,0
2021-01-25,0.013267,0.013404,0.013185,0.013278,0.013278,0
2021-01-26,0.013283,0.013347,0.013197,0.013283,0.013283,0
2021-01-27,0.013321,0.013369,0.013165,0.013321,0.013321,0
2021-01-28,0.013185,0.013201,0.013076,0.013180,0.013180,0
2021-01-29,0.013130,0.013292,0.013102,0.013129,0.013129,0
2021-02-01,0.013184,0.013273,0.013134,0.013178,0.013178,0
2021-02-02,0.013131,0.013280,0.013131,0.013138,0.013138,0
2021-02-03,0.013118,0.013200,0.013105,0.013120,0.013120,0
2021-02-04,0.013178,0.013281,0.013153,0.013178,0.013178,0
2021-02-05,0.013247,0.013419,0.013220,0.013247,0.013247,0
2021-02-08,0.013391,0.013488,0.013378,0.013403,0.013403,0
2021-02-09,0.013454,0.013541,0.013444,0.013455,0.013455,0
2021-02-10,0.013536,0.013585,0.013516,0.013536,0.013536,0
2021-02-11,0.013537,0.013601,0.013529,0.013538,0.013538,0
2021-02-12,0.013580,0.013580,0.013433,0.013580,0.013580,0
2021-02-15,0.013596,0.013673,0.013555,0.013592,0.013592,0
2021-02-16,0.013649,0.013677,0.013533,0.013637,0.013637,0
2021-02-17,0.013601,0.013601,0.013482,0.013598,0.013598,0
2021-02-18,0.013560,0.013605,0.013485,0.013566,0.013566,0
2021-02-19,0.013545,0.013553,0.013500,0.013544,0.013544,0
2021-02-22,0.013501,0.013542,0.013327,0.013487,0.013487,0
2021-02-23,0.013472,0.013577,0.013466,0.013473,0.013473,0
2021-02-24,0.013503,0.013627,0.013470,0.013501,0.013501,0
2021-02-25,0.013607,0.013644,0.013453,0.013606,0.013606,0
2021-02-26,0.013389,0.013469,0.013349,0.013386,0.013386,0
2021-03-01,0.013432,0.013534,0.013420,0.013392,0.013392,0
2021-03-02,0.013471,0.013586,0.013385,0.013468,0.013468,0
2021-03-03,0.013552,0.013625,0.013505,0.013552,0.013552,0
2021-03-04,0.013515,0.013639,0.013508,0.013511,0.013511,0
2021-03-05,0.013415,0.013494,0.013377,0.013413,0.013413,0
2021-03-08,0.013485,0.013539,0.013362,0.013454,0.013454,0
2021-03-09,0.013427,0.013556,0.013407,0.013427,0.013427,0
2021-03-10,0.013506,0.013587,0.013487,0.013508,0.013508,0
2021-03-11,0.013601,0.013670,0.013540,0.013601,0.013601,0
2021-03-12,0.013643,0.013663,0.013566,0.013643,0.013643,0
2021-03-15,0.013630,0.013711,0.013616,0.013639,0.013639,0
2021-03-16,0.013748,0.013789,0.013690,0.013749,0.013749,0
2021-03-17,0.013724,0.013724,0.013481,0.013723,0.013723,0
2021-03-18,0.013577,0.013621,0.013463,0.013577,0.013577,0
2021-03-19,0.013453,0.013559,0.013439,0.013455,0.013455,0
2021-03-22,0.013447,0.013480,0.013322,0.013486,0.013486,0
2021-03-23,0.013370,0.013370,0.013104,0.013370,0.013370,0
2021-03-24,0.013096,0.013211,0.013001,0.013101,0.013101,0
2021-03-25,0.013050,0.013204,0.013040,0.013052,0.013052,0
2021-03-26,0.013134,0.013227,0.013128,0.013138,0.013138,0
2021-03-29,0.013216,0.013219,0.013144,0.013217,0.013217,0
2021-03-30,0.013217,0.013268,0.013130,0.013218,0.013218,0
2021-03-31,0.013165,0.013294,0.013164,0.013175,0.013175,0
2021-04-01,0.013212,0.013237,0.013087,0.013214,0.013214,0
2021-04-02,0.013115,0.013175,0.013076,0.013112,0.013112,0
2021-04-05,0.013088,0.013158,0.013041,0.013086,0.013086,0
2021-04-06,0.013081,0.013130,0.012939,0.013083,0.013083,0
2021-04-07,0.012969,0.013004,0.012819,0.012987,0.012987,0
