Date,Open,High,Low,Close*,Adj Close**,Volume
03/24/23,1991.7,1995.4,1982.1,1982.1,1982.1,33
03/23/23,1990.5,1994.6,1990.5,1993.8,1993.8,33
03/22/23,1946.8,1974,1946.8,1946.8,1946.8,50
03/21/23,1973.8,1973.8,1938,1938,1938,47
03/20/23,1988.3,2003.9,1968.9,1979.2,1979.2,389
03/17/23,1946,1985.1,1946,1969.8,1969.8,82
03/16/23,1909.9,1931.7,1909.9,1919,1919,394
03/15/23,1903.9,1926.6,1898.5,1926.6,1926.6,564
03/14/23,1912.2,1912.2,1901.1,1906.2,1906.2,107
03/13/23,1890.8,1913.1,1875.1,1911.7,1911.7,503
03/10/23,1852.3,1868.5,1852,1862,1862,248
03/09/23,1816.4,1829.3,1815.6,1829.3,1829.3,332
03/08/23,1811.6,1812.9,1811.5,1812.7,1812.7,75
03/07/23,1840.9,1840.9,1813.9,1813.9,1813.9,450
03/06/23,1853.3,1853.8,1844.2,1847.9,1847.9,5
03/03/23,1837.3,1855.4,1837.3,1847.7,1847.7,61
03/02/23,1830,1836.3,1830,1833.5,1833.5,154
03/01/23,1827.1,1841.7,1827.1,1837.7,1837.7,211
02/28/23,1808.1,1830,1808.1,1828.9,1828.9,618
02/27/23,1811.6,1817.5,1808.9,1817,1817,829
02/24/23,1808.8,1808.8,1808.8,1808.8,1808.8,404
02/23/23,1826.4,1827.5,1818,1818,1818,291
02/22/23,1835.7,1836.2,1825.1,1832,1832,278
02/21/23,1842.6,1843,1833,1833,1833,862
02/17/23,1827.4,1842.2,1818.4,1840.4,1840.4,35
02/16/23,1838.6,1843.7,1827.2,1842,1842,222
02/15/23,1842,1842,1828.2,1834.2,1834.2,368
02/14/23,1854.1,1862,1846.2,1854,1854,656
02/13/23,1859,1861,1850,1851.9,1851.9,569
02/10/23,1861.6,1863.5,1852.4,1862.8,1862.8,27
02/09/23,1875.3,1884.6,1859.8,1866.2,1866.2,223
02/08/23,1872.1,1880.4,1872.1,1877.4,1877.4,230
02/07/23,1870,1875.7,1868,1871.7,1871.7,297
02/06/23,1865.6,1880,1863.4,1866.2,1866.2,424
02/03/23,1912.4,1917,1861.5,1862.9,1862.9,992
02/02/23,1952.3,1959.1,1911.3,1916.3,1916.3,748
02/01/23,1927.2,1955,1922,1927.8,1927.8,2290
01/31/23,1923,1930.4,1900.6,1929.5,1929.5,1910
01/30/23,1928.3,1933.6,1920.3,1922.9,1922.9,27220
01/27/23,1928.6,1928.6,1928.6,1928.6,1928.6,150902
