Date,Open,High,Low,Close*,Adj Close**,Volume
03/24/23,75.42,76.28,72.69,74.99,74.99,18685
03/23/23,75.74,77.43,75.12,75.91,75.91,18685
03/22/23,75.09,77.09,74.52,76.69,76.69,19933
03/21/23,73.74,75.4,72.81,75.32,75.32,18784
03/20/23,72.89,73.85,70.13,73.79,73.79,22185
03/17/23,74.55,75.9,71.35,72.97,72.97,34734
03/16/23,74.35,75.52,71.86,74.7,74.7,29873
03/15/23,77.57,78.71,71.63,73.69,73.69,46598
03/14/23,80.69,80.88,76.88,77.45,77.45,33198
03/13/23,82.54,83.47,78.34,80.77,80.77,38195
03/10/23,81.47,83.08,80.73,82.78,82.78,26753
03/09/23,82.62,84.01,81.41,81.59,81.59,25018
03/08/23,82.98,83.59,82.05,82.66,82.66,23661
03/07/23,86.23,86.76,82.65,83.29,83.29,26092
03/06/23,85.93,86.36,84.35,86.18,86.18,24587
03/03/23,84.41,86,82.36,85.83,85.83,27594
03/02/23,84.31,85.09,83.84,84.75,84.75,17997
03/01/23,83.1,84.49,82.61,84.31,84.31,26723
02/28/23,82.64,84.12,82.61,83.89,83.89,24882
02/27/23,83.12,83.63,81.74,82.45,82.45,5691
02/24/23,82.35,83.38,81.07,83.16,83.16,13365
02/23/23,80.47,82.75,80.34,82.21,82.21,14474
02/22/23,82.74,83.23,80.4,80.6,80.6,20309
02/21/23,83.01,84.29,82.54,83.05,83.05,31936
02/17/23,84.67,84.85,81.79,83,83,27191
02/16/23,85.14,86.2,84.6,85.14,85.14,20089
02/15/23,85.29,85.85,83.9,85.38,85.38,21161
02/14/23,85.75,86.4,84.12,85.58,85.58,19585
02/13/23,86.6,86.95,85.09,86.61,86.61,19426
02/10/23,84.23,86.91,83.94,86.39,86.39,30882
02/09/23,85.07,85.5,83.06,84.5,84.5,30520
02/08/23,84.03,85.16,83.5,85.09,85.09,29853
02/07/23,81.4,84.1,81.18,83.69,83.69,24432
02/06/23,79.75,81.4,79.09,80.99,80.99,31365
02/03/23,82.15,84.19,79.62,79.94,79.94,24743
02/02/23,83.09,83.6,81.24,82.17,82.17,24611
02/01/23,85.52,86.2,82.37,82.84,82.84,28085
01/31/23,85.16,85.16,83.69,84.49,84.49,30498
01/30/23,86.8,87.37,84.75,84.9,84.9,5879
01/27/23,87.6,88.91,85.68,86.66,86.66,10012
01/26/23,86.13,88.01,85.78,87.47,87.47,14187
01/25/23,86.3,87.01,85.41,86.12,86.12,19993
01/24/23,88.03,88.71,85.81,86.13,86.13,26572
01/23/23,87.81,89.1,86.93,88.19,88.19,21194
01/20/23,86.36,87.77,85.58,87.63,87.63,24374
01/19/23,84.59,86.85,83.74,86.16,86.16,28822
01/18/23,86.72,87.84,84.4,84.98,84.98,26461
