Date,Open,High,Low,Close*,Adj Close**,Volume
03/24/23,-0.25,0.25,-1,0,0,382
03/23/23,-0.5,0,-0.5,0,0,382
03/22/23,-0.5,0,-0.5,0,0,361
03/21/23,-0.5,0.25,-1,0,0,494
03/20/23,-0.75,0,-1.75,0,0,614
03/17/23,-1,0,-1,0,0,840
03/16/23,-0.5,0,-1.25,0,0,1218
03/15/23,0,0,-2,0,0,181
03/14/23,-0.25,0,-1,0,0,640
03/13/23,-0.25,0,-4,0,0,1105
03/10/23,-0.5,0,-0.75,0,0,238
03/09/23,0,0.25,-4.25,0,0,156
03/08/23,0,0,-0.25,0,0,58
03/07/23,-0.5,0.75,-0.5,0,0,330
03/06/23,-0.75,0.5,-1.25,0,0,1611
03/03/23,-0.75,0,-1,0,0,1658
03/02/23,-0.75,0,-1.5,0,0,388
03/01/23,-0.75,-0.75,-1.75,-1,-1,360
02/28/23,0,0,0,0,0,1971
02/27/23,-0.25,0.75,-0.25,0,0,-
02/24/23,-0.5,0,-1.5,0,0,1154
02/23/23,-0.25,0,-1,0,0,1045
02/22/23,0,0.25,-0.5,0,0,1041
02/21/23,-0.25,0.25,-0.5,0,0,1090
02/17/23,0,0,-1,0,0,37
02/16/23,-0.25,0.25,-0.5,0,0,701
02/15/23,-0.25,0,-1.5,0,0,605
02/14/23,-0.5,0.25,-0.5,0,0,972
02/13/23,-0.75,0.5,-1,0,0,413
02/10/23,-1.25,0,-1.25,0,0,761
02/09/23,-1,0,-1.25,0,0,1343
02/08/23,-1,0,-1.75,0,0,1526
02/07/23,-1,0,-1.25,0,0,1118
02/06/23,-1,0,-2,0,0,489
02/03/23,-0.75,0,-1.5,0,0,910
02/02/23,-0.5,0,-1,0,0,481
02/01/23,-0.75,0,-1,0,0,724
01/31/23,0,0,0,0,0,1583
01/30/23,0,0.25,-0.5,0,0,-
01/27/23,0.25,0.25,0,0,0,1594
01/26/23,0,0.5,0,0,0,1509
01/25/23,0,0.5,-0.25,0,0,1558
01/24/23,0,0.25,-0.25,0,0,1331
01/23/23,0,0.25,-0.5,0,0,2354
01/20/23,0,0.5,-0.25,0,0,1370
01/19/23,0,0.5,-0.5,0,0,1039
01/18/23,0,0.5,-0.25,0,0,566
01/17/23,0,0.25,-0.75,0,0,916
01/16/23,-,-,-,-,-,-
01/13/23,0,0.75,-0.25,0,0,836
01/12/23,0,0.25,-0.25,0,0,233
01/11/23,-0.25,0,-0.5,0,0,640
01/10/23,-0.25,0,-1.75,0,0,740
01/09/23,-0.25,0,-0.75,0,0,837
01/06/23,-0.25,0,-0.5,0,0,606
01/05/23,0,0,-0.75,0,0,678
01/04/23,-0.25,0,-0.75,0,0,645
01/03/23,0,0,-1,0,0,750
01/02/23,-,-,-,-,-,-
12/30/22,-0.25,0,-1,0,0,754
12/29/22,0,0,0,0,0,371
12/28/22,0.75,0.75,-0.5,0,0,-
12/27/22,0,0.5,0,0,0,1178
12/26/22,-,-,-,-,-,-
12/23/22,0.75,0.75,-0.25,0,0,1182
12/22/22,0,0.75,0,0,0,962
12/21/22,0,0.25,-0.25,0,0,1103
12/20/22,0,0.5,-0.25,0,0,252
12/19/22,-0.25,0.75,-0.75,0,0,825
12/16/22,0,1,-0.25,0,0,1024
12/15/22,0,0.25,-0.25,0,0,701
12/14/22,-0.25,0,-0.5,0,0,1110
12/13/22,-0.25,0,-0.75,0,0,583
12/12/22,0,0,-0.75,0,0,1007
12/09/22,0,0.25,-0.75,0,0,913
12/08/22,0,0,-0.75,0,0,1501
12/07/22,0,0,-1,0,0,317
12/06/22,-0.25,0,-0.75,0,0,655
12/05/22,-0.25,0,-0.5,0,0,631
12/02/22,-1,0,-1.25,0,0,602
12/01/22,-1,0,-1.75,0,0,1046
11/30/22,0,0,0,0,0,1128
11/29/22,-0.25,0,-0.75,0,0,-
11/28/22,-0.25,0.25,-0.75,0,0,1845
11/25/22,-0.25,0.5,-1.5,0,0,1079
11/23/22,-0.5,0,-2,0,0,327
11/22/22,-0.25,0.25,-0.75,0,0,706
11/21/22,-0.5,0,-1,0,0,740
11/18/22,-0.5,0,-0.75,0,0,509
11/17/22,-0.5,0,-1,0,0,842
11/16/22,-0.25,0.25,-1,0,0,829
11/15/22,-0.25,0,-0.75,0,0,631
11/14/22,-0.5,0,-1.5,0,0,864
11/11/22,-0.25,0,-0.5,0,0,428
11/10/22,-0.25,0,-1,0,0,352
11/09/22,-0.25,0,-0.75,0,0,529
11/08/22,-0.25,0,-0.75,0,0,975
11/07/22,0,0.25,-1,0,0,1653
11/04/22,-0.25,0,-0.5,0,0,683
11/03/22,-0.25,0,-1,0,0,450
11/02/22,-0.75,0,-1,0,0,832
11/01/22,-0.25,0,-1.25,0,0,1989
10/31/22,0,0,0,0,0,1073
10/28/22,0.5,0.5,0,0,0,-
10/27/22,0.5,0.75,0,0,0,2411
10/26/22,0.5,0.75,0,0,0,1706
10/25/22,0.25,0.75,0,0,0,1469
10/24/22,0.25,0.75,0,0,0,2017
10/21/22,0.25,0.5,0,0,0,2057
10/20/22,0.25,0.75,0,0,0,1392
10/19/22,0.5,0.75,0,0,0,1461
10/18/22,0.25,0.5,0,0,0,1188
10/17/22,0,0.5,0,0,0,796
10/14/22,0.25,1,-0.25,0,0,604
10/13/22,0.5,0.5,0,0,0,1952
10/12/22,0.5,0.5,-0.5,0,0,1764
10/11/22,0.25,0.75,0,0,0,2483
10/10/22,0.25,0.5,0,0,0,1880
10/07/22,0,0.5,0,0,0,407
10/06/22,0,0.25,0,0,0,777
10/05/22,0,0.75,-0.25,0,0,1138
10/04/22,-0.75,0,-1.75,0,0,2600
10/03/22,-0.25,0,-1,0,0,968
09/30/22,0,0,0,0,0,936
09/29/22,0,0.75,0,0,0,-
09/28/22,0,0.5,0,0,0,1524
09/27/22,0,0.25,0,0,0,955
09/26/22,-0.75,0,-0.75,0,0,615
09/23/22,0,1,-0.5,0,0,786
09/22/22,-0.25,0.75,-0.75,0,0,539
09/21/22,-0.25,0,-2,0,0,569
09/20/22,-0.25,0.75,-0.25,0,0,647
09/19/22,0,0,-1,0,0,689
09/16/22,0,0.25,-1,0,0,511
09/15/22,0,0,-1,0,0,648
09/14/22,-0.25,0,-1,0,0,369
09/13/22,-0.5,0,-0.75,0,0,683
09/12/22,-0.5,0,-2,0,0,526
09/09/22,-0.25,0,-2,0,0,1338
09/08/22,-0.25,0,-0.5,0,0,743
09/07/22,-0.25,1,-2,0,0,188
09/06/22,-0.25,0,-2.5,0,0,798
09/05/22,-,-,-,-,-,-
09/02/22,-0.5,0,-1.5,0,0,434
09/01/22,-1.25,0,-1.5,0,0,1244
08/31/22,0,0,0,0,0,236
08/30/22,0,0.5,0,0,0,-
08/29/22,0,1,-0.5,0,0,2337
08/26/22,-0.25,0,-0.5,0,0,466
08/25/22,-0.25,0,-0.25,0,0,332
08/24/22,-0.25,0,-1,0,0,424
08/23/22,0,0,-1,0,0,365
08/22/22,0,0,-1,0,0,416
08/19/22,0,0,-0.75,0,0,534
08/18/22,0,0.25,-0.5,0,0,228
08/17/22,0,0,-1,0,0,251
08/16/22,-0.25,0.25,-0.25,0,0,407
08/15/22,0,0,-1.5,0,0,314
08/12/22,0,0.25,-1.25,0,0,426
08/11/22,-0.5,1,-1,0,0,340
08/10/22,-0.75,1,-0.75,0,0,289
08/09/22,-1,0,-1,0,0,191
08/08/22,-0.75,0,-3.25,0,0,352
08/05/22,-0.5,0,-9.25,0,0,319
08/04/22,-0.75,0,-1.25,0,0,426
08/03/22,-1,0,-1.5,0,0,277
08/02/22,-0.5,0,-2,0,0,554
08/01/22,-1,0,-2,0,0,409
07/29/22,0,0,0,0,0,591
07/28/22,0,1,0,0,0,-
07/27/22,0,0.75,0,0,0,1928
07/26/22,0,0,-0.75,0,0,1468
07/25/22,0,0.5,-0.75,0,0,1852
07/22/22,0,0,-1,0,0,547
07/21/22,-0.25,0.75,-0.75,0,0,610
07/20/22,-0.5,0,-1,0,0,852
07/19/22,-0.25,0.75,-1,0,0,912
07/18/22,0,0,-1,0,0,593
07/15/22,0,0,-2,0,0,667
07/14/22,0,0,-0.25,0,0,496
07/13/22,0,0.75,-0.25,0,0,130
07/12/22,0,0,-0.5,0,0,557
07/11/22,-0.25,0,-0.5,0,0,448
07/08/22,-0.5,0,-0.75,0,0,675
07/07/22,-0.5,0,-1.25,0,0,861
07/06/22,-1.25,0,-1.5,0,0,708
07/05/22,-0.5,0,-3,0,0,962
07/04/22,-,-,-,-,-,-
07/01/22,0,0,-0.25,0,0,2420
06/30/22,-1,0,-1,0,0,419
06/29/22,0,0.75,0,0,0,30
06/28/22,0,2.5,0,0,0,982
06/27/22,0,0.25,0,0,0,1459
06/24/22,0,0.5,0,0,0,1343
06/23/22,0,0,0,0,0,1628
06/22/22,0,0,-0.25,0,0,728
06/21/22,0.25,0.25,-1,0,0,425
06/20/22,-,-,-,-,-,-
06/17/22,0.5,1,-1,0,0,1951
06/16/22,0.5,1,0,0,0,1285
06/15/22,0.5,1,0,0,0,892
06/14/22,0.25,1.5,0,0,0,525
06/13/22,0.25,0.75,0,0,0,677
06/10/22,0,1,0,0,0,1026
06/09/22,0.25,1,0,0,0,685
06/08/22,0.25,1,0,0,0,482
06/07/22,0.25,0.25,0,0,0,627
06/06/22,0.5,0.5,0,0,0,1005
06/03/22,0,0.25,0,0,0,655
06/02/22,0,0.25,-0.5,0,0,971
06/01/22,0,0,0,0,0,438
05/31/22,0,1,0,0,0,-
05/30/22,-,-,-,-,-,-
05/27/22,0,0.75,0,0,0,57
05/26/22,0,0.25,-0.25,0,0,434
05/25/22,0,0.25,-0.25,0,0,1621
05/24/22,0,2,0,0,0,1880
05/23/22,0,1,0,0,0,1587
05/20/22,0,0.5,-0.25,0,0,2115
05/19/22,0,0.25,-0.75,0,0,724
05/18/22,0,5,0,0,0,702
05/17/22,0,0.5,-0.25,0,0,442
05/16/22,0,0,-0.25,0,0,844
05/13/22,0,0,-0.5,0,0,1127
05/12/22,-0.25,1,-0.5,0,0,1591
05/11/22,-0.25,0,-2.5,0,0,1641
05/10/22,-0.5,0,-0.5,0,0,671
05/09/22,0,0,-1,0,0,405
05/06/22,0,0,-1.25,0,0,711
05/05/22,-0.25,0,-0.75,0,0,561
05/04/22,0,2,-1,0,0,635
05/03/22,0,0,0,0,0,887
05/02/22,0,0,0,0,0,-
04/29/22,0,0,0,0,0,-
04/28/22,0,0.75,0,0,0,-
04/27/22,0,0.5,-0.25,0,0,3726
04/26/22,0,1,-0.5,0,0,1170
04/25/22,0,0.25,-0.25,0,0,2025
04/22/22,0,0,-1,0,0,1427
04/21/22,-0.25,0.75,-0.5,0,0,1486
04/20/22,0,0,-1,0,0,1701
04/19/22,0,0,-0.25,0,0,1053
04/18/22,0,0.5,-1,0,0,2066
04/14/22,0,0,-0.75,0,0,1530
04/13/22,-0.25,0.75,-0.5,0,0,1587
04/12/22,-0.25,0.25,-0.25,0,0,1228
04/11/22,-0.5,0,-0.75,0,0,1151
04/08/22,-0.5,0,-1,0,0,1099
04/07/22,-0.5,0,-0.75,0,0,1170
04/06/22,-1.25,0,-1.75,0,0,1771
04/05/22,-1.25,0,-1.75,0,0,1004
04/04/22,-1.75,0,-2.75,0,0,1047
04/01/22,0,0,0,0,0,1276
03/31/22,0,0,0,0,0,-
03/30/22,0.5,0.5,0,0,0,-
03/29/22,0,0.25,-0.25,0,0,2307
03/28/22,0,0,-1,0,0,781
03/25/22,0,0.25,0,0,0,1222
03/24/22,0,0,-1,0,0,652
03/23/22,0,0,-1,0,0,667
03/21/22,0,0,-0.5,0,0,726
03/21/22,-0.25,0,-0.75,0,0,578
03/18/22,0,0.25,-0.25,0,0,735
03/17/22,-0.25,0.25,-0.25,0,0,516
03/16/22,-0.75,0,-0.75,0,0,684
03/15/22,-0.25,0,-1.25,0,0,581
03/14/22,-1.25,0,-1.5,0,0,667
03/11/22,-0.75,0,-2.25,0,0,292
03/10/22,-1.5,0,-3,0,0,330
03/09/22,-2,0,-2,0,0,390
03/08/22,-1.25,0,-3.75,0,0,871
03/07/22,-1.25,0,-3,0,0,1522
03/04/22,-1.5,0,-2,0,0,1072
03/03/22,-2,0,-3,0,0,712
03/02/22,-0.25,0.5,-4,0,0,1155
03/01/22,0,0,0,0,0,2186
02/28/22,0,0,0,0,0,-
02/25/22,0,1,0,0,0,-
02/24/22,0,1,-0.25,0,0,1663
02/23/22,0.25,0.75,0,0,0,1179
02/22/22,0,0.75,0,0,0,1178
02/18/22,0,0.5,0,0,0,62
02/17/22,0,0.25,0,0,0,279
02/16/22,0,0.25,0,0,0,787
02/15/22,0,1,0,0,0,760
02/14/22,0,0,-1,0,0,915
02/11/22,0,0,-0.25,0,0,1000
02/10/22,-0.25,0,-0.25,0,0,572
02/09/22,0,0,-0.5,0,0,1765
02/08/22,0,0,-0.25,0,0,1179
02/07/22,0,0,-0.5,0,0,887
02/04/22,0,0,-0.5,0,0,989
02/03/22,0,0.5,-0.25,0,0,1150
02/02/22,-0.25,0,-0.5,0,0,856
02/01/22,0,0,0,0,0,741
01/31/22,0,0,0,0,0,-
01/28/22,0,0.25,0,0,0,-
01/27/22,-0.25,0.5,-0.5,0,0,2400
01/26/22,0.25,1,0,0,0,2025
01/25/22,0,0.25,0,0,0,1475
01/24/22,0,0.25,-0.75,0,0,1692
01/21/22,0,2,-0.25,0,0,2147
01/20/22,0,1,0,0,0,422
01/19/22,0,0.25,0,0,0,849
01/18/22,0.25,0.25,-0.5,0,0,1537
01/14/22,0,0.25,0,0,0,1327
01/13/22,0,0.25,-0.25,0,0,1997
01/12/22,-0.25,0,-0.5,0,0,771
01/11/22,-0.25,0,-1,0,0,826
01/10/22,-0.5,0,-1.5,0,0,946
01/07/22,-0.25,0,-1,0,0,1305
01/06/22,-0.25,0,-1,0,0,1232
01/05/22,-0.25,0,-1,0,0,1369
01/04/22,-0.5,0,-0.5,0,0,819
01/03/22,-0.25,0,-0.75,0,0,662
12/31/21,0,0,0,0,0,1497
12/30/21,0,0,0,0,0,-
12/29/21,0,0.75,-2,0,0,-
12/28/21,0,0.5,-0.25,0,0,1028
12/27/21,0,0.25,-0.25,0,0,980
12/23/21,0,0.5,-0.25,0,0,1050
12/22/21,-0.25,0.25,-0.5,0,0,3452
12/21/21,-0.5,0,-0.5,0,0,862
12/20/21,0,0,-0.75,0,0,762
12/17/21,0,0,-0.5,0,0,731
12/16/21,-0.25,0,-0.5,0,0,512
12/15/21,0,0,-1,0,0,1579
12/14/21,-0.25,0,-0.5,0,0,362
12/13/21,-0.25,0,-0.75,0,0,468
12/10/21,-0.25,0,-0.5,0,0,1499
12/09/21,-0.25,0,-0.25,0,0,766
12/08/21,-0.25,0.25,-0.25,0,0,928
12/07/21,-0.25,0,-0.5,0,0,1256
12/06/21,-0.5,0,-0.75,0,0,910
12/03/21,-0.25,0,-0.75,0,0,1741
12/02/21,-0.25,0,-1,0,0,748
12/01/21,0,0,-0.5,-0.25,-0.25,1352
11/30/21,-0.5,0,-0.5,0,0,676
11/29/21,0,0,-1,0,0,113
11/26/21,0,1,-0.5,0,0,4373
11/25/21,-,-,-,-,-,-
11/24/21,0,0.5,0,0,0,203
11/23/21,0,0.5,0,0,0,1048
11/22/21,-0.25,0,-1,0,0,1124
11/19/21,0,0,-1,0,0,2346
11/18/21,0,0,0,0,0,720
11/17/21,0,0,0,0,0,353
11/16/21,0,0.25,0,0,0,303
11/15/21,0,0.75,0,0,0,1080
11/12/21,0,0.5,-0.25,0,0,1067
11/11/21,0,0.5,-0.25,0,0,1453
11/10/21,-0.25,0,-0.5,0,0,980
11/09/21,-0.25,0,-0.25,0,0,638
11/08/21,-0.25,0.5,-0.5,0,0,462
11/05/21,-0.5,0,-0.5,0,0,982
11/04/21,-0.25,0,-1,0,0,684
11/03/21,-0.25,0,-0.75,0,0,1058
11/02/21,0,0,-0.5,0,0,733
11/01/21,0,0,-0.5,0,0,956
10/29/21,2,2,0,0,0,741
10/28/21,-0.5,0,-0.75,0,0,50
10/27/21,0.25,0.5,0,0,0,3338
10/26/21,0,0.25,-0.5,0,0,2630
10/25/21,0.25,0.5,0,0,0,4160
10/22/21,0,0.75,0,0,0,1734
10/21/21,0.25,0.5,0,0,0,1993
10/20/21,0,0.5,0,0,0,1423
10/19/21,0,0.5,0,0,0,1826
10/18/21,0,0.25,0,0,0,2154
10/15/21,0.25,0.25,0,0,0,2677
10/14/21,0,0.25,0,0,0,1123
10/13/21,0,0.25,0,0,0,1256
10/12/21,0,1,-0.5,0,0,1402
10/11/21,0,0,0,0,0,1074
10/08/21,-0.25,0,-0.25,0,0,1901
