Date,Open,High,Low,Close*,Adj Close**,Volume
03/24/23,69.51,70.38,66.82,69.26,69.26,335241
03/23/23,69.95,71.67,69.14,69.96,69.96,335241
03/22/23,69.48,71.31,68.89,70.9,70.9,337639
03/21/23,67.62,69.6,66.77,69.33,69.33,409495
03/20/23,66.62,67.7,64.12,67.64,67.64,76873
03/17/23,68.26,69.64,65.17,66.74,66.74,152255
03/16/23,68.22,69.38,65.71,68.35,68.35,327120
03/15/23,71.56,72.56,65.65,67.61,67.61,555164
03/14/23,74.7,74.9,70.78,71.33,71.33,432858
03/13/23,76.6,77.47,72.3,74.8,74.8,457423
03/10/23,75.65,77.11,74.77,76.68,76.68,371834
03/09/23,76.5,78.06,75.43,75.72,75.72,349960
03/08/23,77.32,77.73,76.11,76.66,76.66,335930
03/07/23,80.5,80.94,77.06,77.58,77.58,398241
03/06/23,79.92,80.63,78.32,80.46,80.46,292351
03/03/23,77.89,79.9,75.83,79.68,79.68,374201
03/02/23,77.74,78.59,77.23,78.16,78.16,260331
03/01/23,76.85,77.85,76.12,77.69,77.69,342121
02/28/23,75.76,77.83,75.55,77.05,77.05,300093
02/27/23,76.42,76.82,74.99,75.68,75.68,266091
02/24/23,75.6,76.63,74.09,76.32,76.32,329254
02/23/23,73.92,75.99,73.83,75.39,75.39,333838
02/22/23,76.11,76.55,73.8,73.95,73.95,332018
02/21/23,76.53,77.51,75.69,76.16,76.16,402351
02/17/23,78.07,78.25,75.06,76.34,76.34,93267
02/16/23,78.54,79.54,77.92,78.49,78.49,117600
02/15/23,78.83,79.15,77.25,78.59,78.59,264486
02/14/23,79.06,79.61,77.46,79.06,79.06,299938
02/13/23,79.94,80.62,78.45,80.14,80.14,301299
02/10/23,77.68,80.33,77.47,79.72,79.72,356062
02/09/23,78.45,78.84,76.52,78.06,78.06,324156
02/08/23,77.49,78.57,77.08,78.47,78.47,353468
02/07/23,74.57,77.6,74.35,77.14,77.14,408279
02/06/23,73.23,74.51,72.25,74.11,74.11,380028
02/03/23,75.92,78,73.1,73.39,73.39,413414
02/02/23,76.79,77.24,74.97,75.88,75.88,339755
02/01/23,79.06,79.73,76.05,76.41,76.41,360859
01/31/23,77.91,79.25,76.55,78.87,78.87,312734
01/30/23,80.04,80.49,77.66,77.9,77.9,327426
01/27/23,81.22,82.48,79.04,79.68,79.68,367588
01/26/23,80.48,82.14,79.92,81.01,81.01,291060
01/25/23,80.26,81.23,79.45,80.15,80.15,297234
01/24/23,81.62,82.22,79.66,80.13,80.13,288207
01/23/23,81.79,82.64,81.05,81.62,81.62,297076
01/20/23,80.6,81.64,79.69,81.31,81.31,300145
01/19/23,79.14,81.18,78.13,80.33,80.33,58863
01/18/23,80.97,82.38,78.94,79.48,79.48,92549
01/17/23,80.1,81.23,78.53,80.18,80.18,312275
01/16/23,80.1,80.22,78.53,78.85,78.85,283539
01/13/23,78.32,80.11,77.97,79.86,79.86,283539
01/12/23,77.7,79.16,77.1,78.39,78.39,307705
01/11/23,74.78,77.84,74.31,77.41,77.41,350891
01/10/23,74.86,75.92,73.84,75.12,75.12,307430
01/09/23,73.47,76.74,73.47,74.63,74.63,329290
01/06/23,73.97,75.47,73.24,73.77,73.77,258128
01/05/23,73.25,74.92,72.46,73.67,73.67,300731
01/04/23,77.25,77.42,72.73,72.84,72.84,352434
01/03/23,80.57,81.5,76.6,76.93,76.93,338520
01/02/23,-,-,-,-,-,-
12/30/22,78.73,80.67,77.71,80.26,80.26,205909
12/29/22,78.82,78.82,76.79,78.4,78.4,199858
12/28/22,79.89,79.92,77.3,78.96,78.96,207717
12/27/22,79.9,81.18,79.16,79.53,79.53,199601
12/26/22,-,-,-,-,-,-
12/23/22,78.18,80.33,77.98,79.56,79.56,237711
12/22/22,78.43,79.9,77.03,77.49,77.49,219142
12/21/22,75.99,78.61,75.8,78.29,78.29,234624
12/20/22,75.7,76.75,74.31,76.09,76.09,254792
12/19/22,74.5,76.41,73.81,75.19,75.19,69348
12/16/22,76.37,76.57,73.33,74.29,74.29,99205
